predicteur,pr_auc,brier,lift
0 · hasard,0.00024103940731625,0.0002409839765558728,1.0
1 · historique commune (spatial),0.004667576788644724,0.00024041956228175646,19.364372160609992
2 · danger EFFIS (météo),0.0012198033259148392,0.00024082479687738021,5.060597101097354
3 · historique × EFFIS,0.010149487636442151,0.0002477744788994724,42.107171393455005
