iteration,ajustement,evaluation
1,0.7296483131089521,0.6428255195420302
2,0.7455337279498453,0.6588645652497958
3,0.7566079028458879,0.6717634961423895
4,0.7614527710556586,0.6784300498120275
5,0.7640729219063085,0.6809551227500524
6,0.7673285177852303,0.685046378400154
7,0.7697333245323346,0.6872664288715746
8,0.7713953127404719,0.6897639284267997
9,0.7731686018631293,0.6912904730479683
10,0.7751610564069561,0.6943807428053553
11,0.7761656126331316,0.6952126961746932
12,0.7774874782667047,0.696270164933202
13,0.7785270725462196,0.696696485451907
14,0.7800971346962857,0.6979087205724306
15,0.7809557679732972,0.698438414277676
16,0.7821119842735328,0.700060971316704
17,0.782867448622129,0.7007221177563367
18,0.7836567947259506,0.7011861715862294
19,0.7845050904871274,0.7023534123610133
20,0.7851600187993101,0.7027942448926259
21,0.785714396731474,0.7032755650469988
22,0.7864369620864978,0.7037832747194973
23,0.7869753396038544,0.7046198780065129
24,0.7876430975229719,0.7053066707225419
25,0.7883948262589395,0.7058046713954536
26,0.7889685740600269,0.7062143286732633
27,0.7893847291802137,0.7065173131059527
28,0.789928998139427,0.7068232792767747
29,0.7905644283131353,0.7075578795093089
30,0.7911819086711714,0.707579767111178
31,0.7919500980325822,0.7084362473862594
32,0.7924874790819627,0.7087233458164899
33,0.7931051016688578,0.7091421833416126
34,0.7936816108920597,0.709476837096213
35,0.794146259201251,0.7100410153365346
36,0.7945629070783861,0.7103025237727831
37,0.7948495250580347,0.7106194121580445
38,0.7953593064603209,0.711187985047182
39,0.7959077465843057,0.7115940876531928
40,0.7963609427330887,0.711696072177367
41,0.7967082811708368,0.7121334660827463
42,0.7971874044174058,0.7124873878936037
43,0.797549670092994,0.7127547519346498
44,0.7979710141769035,0.7131040171812065
45,0.7982235567632909,0.7132284440089678
46,0.7986804709204717,0.713576858680799
47,0.7990646965400581,0.7139799508839113
48,0.7994625923005646,0.7143723897168881
49,0.8000405587281042,0.7148584214151651
50,0.8003900584381485,0.7152896982391832
51,0.8010076083843882,0.7156427726266393
52,0.8014770573615421,0.7161432444431265
53,0.8017239116623612,0.7163775499041616
54,0.8020844350696694,0.7165160750415831
55,0.8027107050476098,0.7169186882411223
56,0.8032256216314082,0.717351036692075
57,0.8036978627376328,0.7176412557246671
58,0.804186974565646,0.7178838248630837
59,0.8043663236075455,0.7181583315945452
60,0.804776964221293,0.7186646543910098
61,0.8051541704555736,0.7189495169798148
62,0.8053471236843217,0.719199926202517
63,0.8055455166449921,0.719387111420178
64,0.8059215388484636,0.7196361010400684
65,0.8062890969782124,0.719737539476158
66,0.8065892832327182,0.72006907790845
67,0.8069110832319729,0.7203989354137345
68,0.8072078638809541,0.7207908646680483
69,0.807414530601767,0.7209880316253792
70,0.8078121088481847,0.7211318588945069
71,0.8081078816086736,0.7214459954484651
72,0.8084108377180866,0.7215260933808793
73,0.8086155431724115,0.7217055630568237
74,0.8088558101114615,0.7219323466237619
75,0.8090421897085817,0.7221634402183086
76,0.8092385881485362,0.7223832483796757
77,0.8093438907625242,0.7224361149731795
78,0.8096098169214476,0.7224293552107114
79,0.809880980724151,0.7228079400918612
80,0.8101165930934942,0.722909049667089
81,0.8104379349987779,0.7232548773985152
82,0.810654060321218,0.7233682052535715
83,0.8108631871034415,0.7236144769185494
84,0.8111707411595087,0.7238677655069847
85,0.8115133713550851,0.7239429727508975
86,0.8116784323823583,0.7241590534484326
87,0.8121976857258141,0.7244561882294696
88,0.8124776769477767,0.7246673363521191
89,0.8127637290203078,0.7248206731927017
90,0.8129508700235172,0.7249277324842199
91,0.8130430855480466,0.7250676690390908
92,0.8133900681485527,0.7254193255001371
