annonce,observe,effectif,ecart,methode
0.0,0.0,946018,0.0,isotonic
2.4576136735071156e-06,7.306772403781985e-06,1642312,-4.849158730274869e-06,isotonic
3.1154580121124223e-06,1.0611551279942576e-05,1319317,-7.496093267830154e-06,isotonic
7.153795880742135e-06,2.4606079043673555e-05,894088,-1.7452283162931418e-05,isotonic
9.306924756821216e-06,2.4894249229274045e-05,1004248,-1.558732447245283e-05,isotonic
1.4007196112566589e-05,4.4294826364280654e-05,1196528,-3.0287630251714065e-05,isotonic
3.6520849042963664e-05,0.00010187111172181131,1266306,-6.535026267884766e-05,isotonic
6.698371341749331e-05,0.00016479332170902326,1201505,-9.780960829152995e-05,isotonic
0.00012292572241313985,0.00024135343580540105,646355,-0.0001184277133922612,isotonic
0.0002453027211036687,0.0003938891115619953,1444569,-0.00014858639045832656,isotonic
0.0023047785069611657,0.002735827428841621,1116664,-0.0004310489218804555,isotonic
