serie,an_min,an_max,n_ans,pente,p,valeur_debut,valeur_fin,variation_pct,significatif
FWI moyen annuel,1973,2025,52,0.040978614180308244,4.246217650742351e-05,3.6800311728250676,5.810919110201096,57.90407301740869,True
FWI moyen juin-septembre,1973,2025,52,0.08678960676148316,0.00014664983321898675,7.335016584288184,11.848076135885307,61.527598468750945,True
"jours de danger élevé (FWI > 21,3)",1973,2025,52,0.33579186552010737,5.1823988269109256e-05,8.843923949974737,26.305100957020322,197.43698731257706,True
communes-jours en feu,2006,2025,19,3.7203007518796993,0.8928734310117572,2421.1571428571433,2491.8428571428576,2.919501301030794,False
