modele,budget,lignes,feux,rappel,precision
C,0.00020000806967152655,7614,279,0.04413160392280924,0.03664302600472813
C,0.00020875546751768077,7947,290,0.045871559633027525,0.036491757896061405
C,0.0002178706238318415,8294,297,0.0469788041758937,0.03580901856763926
C,0.00022740607553800961,8657,304,0.048086048718759884,0.03511609102460437
C,0.0002373355541741847,9035,313,0.049509648845302116,0.03464305478693968
C,0.00024771159666436767,9430,319,0.05045871559633028,0.033828207847295864
C,0.00025856047147055896,9843,325,0.05140778234735843,0.03301838870263131
C,0.0002698559101307581,10273,335,0.05298956026573869,0.03260975372335248
C,0.0002816767180309665,10723,348,0.05504587155963303,0.03245360440175324
C,0.0002939703582471833,11191,357,0.05646947168617526,0.03190063443838799
C,0.0003068419046274102,11681,368,0.058209427396393544,0.03150415204177724
C,0.0003202650887096469,12192,376,0.059474849731097755,0.03083989501312336
C,0.0003342661789558938,12725,386,0.061056627649478015,0.030333988212180748
C,0.0003488714438281513,13281,395,0.06248022777602025,0.02974173631503652
C,0.0003641334202504204,13862,407,0.06437836127807656,0.029360842591256674
C,0.00038005210822270106,14468,418,0.06611831698829485,0.028891346419684823
C,0.00039668004466899426,15101,432,0.06833280607402721,0.028607376994901
C,0.00041401722958929997,15761,451,0.0713381841189497,0.02861493560053296
C,0.00043211619990761907,16450,464,0.07339449541284404,0.028206686930091186
C,0.00045102949254795255,17170,473,0.07481809553938627,0.027548048922539314
C,0.0004707571075103004,17921,484,0.07655805124960456,0.02700742146085598
C,0.000491325313256663,18704,497,0.07861436254349889,0.02657185628742515
C,0.0005128129151730419,19522,517,0.08177791838025941,0.026482942321483453
C,0.0005352461817214374,20376,528,0.0835178740904777,0.02591283863368669
C,0.0005586513813638502,21267,540,0.08541600759253401,0.025391451544646636
C,0.0005830810510242809,22197,552,0.08731414109459032,0.024868225435869713
C,0.0006085614591647302,23167,568,0.08984498576399874,0.024517632839815253
C,0.0006351976796331998,24181,579,0.09158494147421702,0.02394441917207725
C,0.0006629634439676894,25238,598,0.09459031951913952,0.023694429035581267
C,0.0006919638260162007,26342,611,0.09664663081303385,0.023194897881709815
C,0.0007221988257787338,27493,627,0.09917747548244227,0.022805805114029024
C,0.000753799785565291,28696,640,0.1012337867763366,0.02230275996654586
C,0.0007867667053758722,29951,658,0.10408098702942106,0.02196921638676505
C,0.0008211521221344785,31260,674,0.10661183169882948,0.021561100447856685
C,0.0008570611096891117,32627,693,0.10961720974375198,0.021240077236644495
C,0.0008945462049637726,34054,711,0.11246440999683645,0.020878604569213602
C,0.0009336599448824623,35543,719,0.11372983233154065,0.02022901837211265
C,0.000974481134831182,37097,740,0.1170515659601392,0.01994770466614551
C,0.0010171148486579338,38720,762,0.12053147738057576,0.0196797520661157
C,0.001061587354824718,40413,778,0.12306232204998419,0.019251231039516987
C,0.0011080037271795364,42180,798,0.1262258778867447,0.01891891891891892
C,0.0011564690395703908,44025,823,0.13018032268269536,0.018693923906871097
C,0.0012070358289212825,45950,844,0.1335020563112939,0.01836779107725789
C,0.001259809169080213,47959,857,0.13555836760518822,0.017869430138243082
C,0.0013148941338951843,50056,874,0.13824739006643466,0.017460444302381334
C,0.001372395797214198,52245,900,0.14236001265422335,0.017226528854435832
C,0.0014324192328852563,54530,933,0.14757987978487822,0.017109847790207227
C,0.0014950432462943607,56914,958,0.15153432458082886,0.01683241381733844
C,0.0015604254482135134,59403,981,0.15517241379310345,0.016514317458714206
C,0.0016286709124907167,62001,999,0.15801961404618792,0.016112643344462187
C,0.0016998847129739724,64712,1020,0.16134134767478647,0.015762146124366425
C,0.001774224460435283,67542,1043,0.16497943688706104,0.015442243344881703
C,0.001851795228722651,70495,1070,0.16925023726668775,0.015178381445492588
C,0.0019327808970700789,73578,1098,0.17367921543815248,0.01492293892196037
C,0.0020173128077875693,76796,1118,0.176842771274913,0.01455804989843221
C,0.0021055223031851244,80154,1136,0.17968997152799748,0.014172717518776355
C,0.002197593262496748,83659,1154,0.18253717178108195,0.013794092685783957
C,0.002293683296494442,87317,1187,0.18775703891173678,0.013594145469954305
C,0.0023939762844122107,91135,1212,0.19171148370768745,0.013298952104021506
C,0.0024986823739460567,95121,1233,0.19503321733628598,0.012962437316680859
C,0.002607932907405983,99280,1255,0.19851312875672256,0.012641015310233683
C,0.002721990569411994,103622,1286,0.20341664030370135,0.012410491980467469
C,0.0028410129707360926,108153,1319,0.20863650743435622,0.012195685741495843
C,0.002965236527536283,112882,1346,0.21290730781398293,0.0119239559894403
C,0.00309492392443257,117819,1379,0.21812717494463776,0.01170439402812789
C,0.003230259040658956,122971,1407,0.2225561531161025,0.01144172203202381
C,0.0033715045608354462,128348,1441,0.22793419803859538,0.011227288309907438
C,0.0035189494380440463,133961,1462,0.23125593166719394,0.010913624114481081
C,0.0036728300884427594,139819,1491,0.2358430876304967,0.010663786752873357
C,0.003833435465113591,145933,1538,0.2432774438468839,0.01053908300384423
C,0.004001054521138547,152314,1571,0.24849731097753874,0.010314219310109379
C,0.004176028746523632,158975,1609,0.2545080670673837,0.010121088221418462
C,0.004358647094350852,165927,1638,0.2590952230306865,0.009871811097651376
C,0.004549224786164212,173182,1668,0.2638405567858273,0.009631485951195852
C,0.00474818211735572,180756,1713,0.2709585574185384,0.009476863838544779
C,0.0049558080410073806,188660,1747,0.2763366023410313,0.009260044524541503
C,0.005172522852511202,196910,1782,0.2818728250553622,0.009049819714590422
C,0.00539869431033519,205520,1828,0.2891490034799114,0.008894511483067342
C,0.005634795246795353,214508,1867,0.29531793736159445,0.008703638092751785
C,0.005881193420359697,223888,1912,0.3024359379943056,0.008539984277853213
C,0.006138361663344231,233678,1953,0.30892122745966466,0.00835765455027859
C,0.006406799076526965,243897,1990,0.3147738057576716,0.008159181949757479
C,0.006686952223761904,254562,2036,0.3220499841822208,0.00799805155522034
C,0.0069793727427510605,265694,2073,0.32790256248022775,0.007802208555706941
C,0.007284586002734442,277313,2118,0.33502056311293893,0.007637579197513279
C,0.0076031173729520585,289439,2170,0.3432458082885163,0.00749726194465846
C,0.00793559729649192,302096,2213,0.3500474533375514,0.007325485938244797
C,0.00828262994798004,315307,2253,0.35637456501107245,0.007145417006282765
C,0.008644819502042425,329095,2304,0.36444163239481175,0.007001017943147116
C,0.00902284893869109,343486,2351,0.37187598861119897,0.006844529325794938
C,0.009417401237938048,358506,2388,0.3777285669092059,0.006660976385332463
C,0.009829211916719309,374183,2437,0.38547927870926924,0.006512856008958183
C,0.010259042760432888,390546,2490,0.3938627016766846,0.006375689419428185
C,0.010707655554476798,407624,2539,0.40161341347674784,0.00622877946342708
C,0.011175890889635054,425449,2588,0.40936412527681115,0.006082985269679797
C,0.01166461562515367,444054,2630,0.4160075925340082,0.005922703094668667
C,0.012174696620278664,463472,2691,0.42565643783612783,0.005806175993371768
C,0.012707079539642051,483739,2753,0.4354634609300854,0.005691085482047137
C,0.013262736316337849,504892,2811,0.4446377728566909,0.005567527312771841
C,0.013842717688846075,526971,2858,0.45207212907307814,0.005423448349150143
C,0.014448048127184749,550015,2908,0.4599810186649794,0.0052871285328581945
C,0.015079830906757888,574066,2966,0.46915533059158493,0.005166653311640125
C,0.015739274376817516,599170,3020,0.47769693135083835,0.00504030575629621
C,0.01642753434969165,625371,3075,0.4863967099019298,0.004917081220587459
C,0.017145897980018317,652718,3148,0.49794368870610567,0.004822909740500492
C,0.017895652422435536,681260,3191,0.5047453337551407,0.004683967941754984
C,0.018678216173891333,711051,3241,0.512654223347042,0.004558041546949516
C,0.019495007731333735,742145,3311,0.5237266687757038,0.004461392315517857
C,0.020347498128634768,774598,3371,0.5332173362859854,0.004351934810056313
C,0.021237289741976455,808471,3421,0.5411262258778867,0.004231444294229478
C,0.02216598494754083,843825,3486,0.5514077823473584,0.004131188338814327
C,0.02313526492689592,880724,3548,0.5612148054413161,0.004028503821855655
C,0.024146942203919757,919237,3605,0.5702309395760835,0.003921730739733061
C,0.025202881839414378,959435,3656,0.5782980069598228,0.0038105760160928046
C,0.02630497516264381,1001390,3706,0.5862068965517241,0.003700855810423511
C,0.02745527111364409,1045180,3764,0.5953812084783296,0.0036012935570906447
C,0.02865587116937526,1090885,3824,0.6048718759886113,0.003505410744487274
C,0.029908955612183354,1138588,3883,0.6142043657070547,0.003410364416277003
C,0.031216862335186415,1188378,3941,0.6233786776336603,0.0033162848857854993
C,0.032581929231502486,1240344,3997,0.6322366339765897,0.00322249311481331
C,0.03400670434194561,1294583,4053,0.6410945903195191,0.0031307378514934927
C,0.035493788244253824,1351194,4109,0.6499525466624486,0.0030410140956813013
C,0.037045912858475194,1410281,4160,0.6580196140461879,0.0029497667486125105
C,0.03866588891004376,1471951,4205,0.6651376146788991,0.002856752704403883
C,0.04035671100362757,1536318,4270,0.6754191711483708,0.0027793724997038373
C,0.04212147881774268,1603500,4324,0.6839607719076242,0.0026966011849080137
C,0.04396342337321516,1673620,4393,0.694875039544448,0.0026248491294320097
C,0.04588588076471906,1746805,4446,0.7032584625118633,0.0025452182699270956
C,0.04789244977154844,1823192,4498,0.7114837076874407,0.0024671016546803626
C,0.04998672917299737,1902918,4544,0.7187598861119899,0.0023879116178416515
C,0.05217260670144191,1986131,4598,0.7273014868712433,0.0023150537401611473
C,0.05445407516310614,2072983,4648,0.7352103764631446,0.002242179506537198
C,0.05683528497498612,2163632,4703,0.743910155014236,0.0021736598460366644
C,0.05932064923869794,2258246,4765,0.7537171781081936,0.002110044698407525
C,0.06191468612970568,2356997,4823,0.7628914900347992,0.0020462478314567222
C,0.06462217650809342,2460067,4868,0.7700094906675102,0.0019788078942565386
C,0.06744803257625524,2567643,4925,0.7790256248022778,0.001918101542932565
C,0.07039748175812925,2679924,4982,0.7880417589370452,0.0018590079420162662
C,0.07347588281996352,2797114,5035,0.7964251819044607,0.0018000696432108236
C,0.07668893601801217,2919430,5085,0.8043340714963619,0.0017417783608444115
C,0.08004247295083931,3047094,5134,0.8120847832964252,0.001684884023925747
C,0.08354264043855303,3180340,5187,0.8204682062638405,0.0016309576963469314
C,0.08719590052280544,3319414,5231,0.8274280291047137,0.0015758805620510127
C,0.09100889912448266,3464569,5269,0.8334387851945587,0.0015208240909619637
C,0.09498862365447684,3616071,5325,0.8422967415374881,0.0014725927671221056
C,0.09914240301368608,3774199,5361,0.8479911420436571,0.0014204338456981203
C,0.10347780251916652,3939241,5409,0.8555836760518823,0.001373107154398525
C,0.1080027815149043,4111500,5449,0.8619107877254033,0.0013253070655478536
C,0.11272564083489157,4291292,5493,0.8688706105662765,0.0012800340783148758
C,0.1176550490715885,4478947,5521,0.8732995887377413,0.0012326558005709824
C,0.1227999900389992,4674807,5553,0.8783612780765581,0.0011878565254137764
C,0.12816992038344388,4879232,5598,0.8854792787092692,0.00114731170807209
C,0.13377469077817272,5092597,5632,0.8908573236317621,0.0011059190428773374
C,0.13962451965490386,5315291,5671,0.8970262575134451,0.0010669218298678285
C,0.14573017708305752,5547724,5694,0.9006643467257197,0.001026366848819444
C,0.15210282715898388,5790321,5721,0.9049351471053464,0.0009880281248656163
C,0.15875413307981115,6043526,5751,0.9096804808604871,0.0009515967996166476
C,0.16569630968036955,6307804,5774,0.9133185700727617,0.0009153740350841593
C,0.1729420708962673,6583639,5810,0.9190129705789307,0.0008824906711926337
C,0.18050468230081465,6871536,5842,0.9240746599177475,0.0008501738184883263
C,0.18839798737348584,7172022,5861,0.92708003796267,0.0008172032935760654
C,0.1966364600368431,7485648,5881,0.9302435937994306,0.0007856367277756047
C,0.2052351783880747,7812988,5917,0.9359379943055995,0.0007573286942204442
C,0.21420992977284295,8154643,5941,0.9397342613097122,0.0007285420097483115
C,0.22357713197989812,8511238,5965,0.9435305283138248,0.0007008381154421954
C,0.2333539645833885,8883427,5987,0.9470104397342614,0.0006739516179960729
C,0.24355831640593642,9271891,6018,0.9519139512812401,0.0006490585361713161
C,0.2542088905924862,9677342,6032,0.9541284403669725,0.0006233116490044477
C,0.2653252308787662,10100524,6052,0.957291996203733,0.0005991768347859973
C,0.2769276690543648,10542211,6071,0.9602973742486555,0.0005758754022282422
C,0.2890374563050403,11003212,6093,0.963777285669092,0.0005537473966692635
C,0.30167678948118315,11484372,6112,0.9667826637140146,0.0005322014995682828
C,0.31486883736627774,11986573,6128,0.969313508383423,0.0005112387001689307
C,0.32863776694536456,12510735,6134,0.9702625751344511,0.0004902989312778187
C,0.34300882221042595,13057819,6151,0.9729515975956976,0.0004710587579748195
C,0.3580082716234624,13628825,6160,0.9743751977222398,0.0004519832047150066
C,0.37366364453265044,14224801,6173,0.9764315090161342,0.00043396037666888976
C,0.39000362609849454,14846839,6184,0.9781714647263524,0.0004165196376144444
C,0.40705813609921326,15496078,6198,0.9803859538120848,0.0003999721736041855
C,0.4248584077361251,16173707,6220,0.9838658652325214,0.0003845747916664992
C,0.4434370927074967,16880969,6228,0.9851312875672256,0.00036893616711220785
C,0.4628281824031566,17619158,6239,0.9868712432774438,0.00035410318699679065
C,0.48306724432065345,18389628,6247,0.9881366656121481,0.0003397023583076286
C,0.5041913432598699,19193790,6253,0.9890857323631762,0.0003257824535956682
C,0.5262391726653326,20033117,6261,0.9903511546978804,0.0003125324930713478
C,0.5492511334315984,20909147,6269,0.9916165770325847,0.00029982093482818785
C,0.5732693864401779,21823485,6276,0.9927238215754508,0.0002875801000619287
C,0.5983379313649219,22777806,6281,0.9935147105346409,0.00027575087785013184
C,0.6245027117458692,23773859,6285,0.994147421701993,0.0002643659996469231
C,0.6518116412577087,24813468,6291,0.9950964884530212,0.00025353167078459165
C,0.6803147613205514,25898538,6295,0.9957291996203733,0.00024306391349195077
C,0.7100643199053158,27031058,6298,0.9962037329958874,0.0002329912502869847
C,0.7411147978021914,28213102,6302,0.9968364441632395,0.0002233713967361689
C,0.7735230662314088,29446835,6306,0.9974691553305916,0.00021414865128968868
C,0.8073485181855512,30734518,6310,0.9981018664979436,0.000205306619742662
C,0.8426531472349397,32078511,6310,0.9981018664979436,0.00019670489069770103
C,0.8795016000645574,33481275,6315,0.9988927554571339,0.00018861288884607888
C,0.9179614128902075,34945381,6317,0.9992091110408099,0.00018076781020072438
C,0.9581030114585133,36473510,6320,0.999683644416324,0.00017327644090190387
C,1.0,38068464,6322,1.0,0.00016606921676692814
v3,0.00020000806967152655,7614,386,0.061056627649478015,0.050696086157079066
v3,0.00020875546751768077,7947,392,0.06200569440050617,0.04932678998364162
v3,0.0002178706238318415,8294,400,0.06327111673521038,0.048227634434530986
v3,0.00022740607553800961,8657,410,0.06485289465359063,0.04736051750028878
v3,0.0002373355541741847,9035,419,0.06627649478013287,0.04637520752628666
v3,0.00024771159666436767,9430,435,0.06880733944954129,0.04612937433722163
v3,0.00025856047147055896,9843,448,0.07086365074343562,0.04551457888855024
v3,0.0002698559101307581,10273,459,0.07260360645365391,0.04468022972841429
v3,0.0002816767180309665,10723,473,0.07481809553938627,0.04411078989088874
v3,0.0002939703582471833,11191,483,0.07639987345776653,0.04315968188723081
v3,0.0003068419046274102,11681,497,0.07861436254349889,0.04254772707816112
v3,0.0003202650887096469,12192,513,0.08114520721290731,0.04207677165354331
v3,0.0003342661789558938,12725,523,0.08272698513128757,0.041100196463654225
v3,0.0003488714438281513,13281,545,0.08620689655172414,0.041036066561252915
v3,0.0003641334202504204,13862,556,0.08794685226194242,0.0401096522868273
v3,0.00038005210822270106,14468,573,0.09063587472318886,0.03960464473320431
v3,0.00039668004466899426,15101,590,0.0933248971844353,0.03907026024766572
v3,0.00041401722958929997,15761,604,0.09553938627016767,0.03832244146944991
v3,0.00043211619990761907,16450,615,0.09727934198038596,0.03738601823708207
v3,0.00045102949254795255,17170,630,0.09965200885795635,0.03669190448456611
v3,0.0004707571075103004,17921,645,0.10202467573552673,0.03599129512862005
v3,0.000491325313256663,18704,655,0.10360645365390699,0.03501924721984602
v3,0.0005128129151730419,19522,669,0.10582094273963935,0.03426902981251921
v3,0.0005352461817214374,20376,685,0.10835178740904777,0.03361798193953671
v3,0.0005586513813638502,21267,697,0.11024992091110408,0.032773780975219824
v3,0.0005830810510242809,22197,712,0.11262258778867447,0.03207640672162905
v3,0.0006085614591647302,23167,728,0.11515343245808289,0.03142400828765054
v3,0.0006351976796331998,24181,752,0.11894969946219551,0.031098796575823994
v3,0.0006629634439676894,25238,765,0.12100601075608984,0.030311435137491086
v3,0.0006919638260162007,26342,785,0.12416956659285036,0.029800318882393137
v3,0.0007221988257787338,27493,806,0.12749130022144892,0.029316553304477504
v3,0.000753799785565291,28696,828,0.13097121164188547,0.028854195706718707
v3,0.0007867667053758722,29951,839,0.13271116735210375,0.028012420286467898
v3,0.0008211521221344785,31260,847,0.13397658968680798,0.02709532949456174
v3,0.0008570611096891117,32627,863,0.1365074343562164,0.026450485793974316
v3,0.0008945462049637726,34054,879,0.1390382790256248,0.025811945733247195
v3,0.0009336599448824623,35543,895,0.14156912369503322,0.02518076695833216
v3,0.000974481134831182,37097,914,0.1445745017399557,0.0246381108984554
v3,0.0010171148486579338,38720,930,0.14710534640936412,0.024018595041322314
v3,0.001061587354824718,40413,951,0.15042708003796268,0.023532031771954568
v3,0.0011080037271795364,42180,974,0.15406516925023728,0.023091512565196776
v3,0.0011564690395703908,44025,994,0.15722872508699778,0.022578080636002272
v3,0.0012070358289212825,45950,1016,0.16070863650743436,0.022110990206746464
v3,0.001259809169080213,47959,1036,0.16387219234419487,0.021601784857899455
v3,0.0013148941338951843,50056,1064,0.1683011705156596,0.02125619306376858
v3,0.001372395797214198,52245,1079,0.17067383739323,0.02065269403770696
v3,0.0014324192328852563,54530,1103,0.17447010439734262,0.020227397762699433
v3,0.0014950432462943607,56914,1128,0.17842454919329326,0.0198193766032962
v3,0.0015604254482135134,59403,1148,0.1815881050300538,0.019325623285019276
v3,0.0016286709124907167,62001,1176,0.1860170832015185,0.018967436009096627
v3,0.0016998847129739724,64712,1196,0.18918063903827903,0.018481888985041415
v3,0.001774224460435283,67542,1221,0.19313508383422967,0.018077640579195167
v3,0.001851795228722651,70495,1246,0.1970895286301803,0.017675012412227818
v3,0.0019327808970700789,73578,1265,0.20009490667510282,0.017192639104080025
v3,0.0020173128077875693,76796,1294,0.20468206263840558,0.016849835928954632
v3,0.0021055223031851244,80154,1328,0.21006010756089846,0.016568106395189262
v3,0.002197593262496748,83659,1350,0.213540018981335,0.016136936850787122
v3,0.002293683296494442,87317,1383,0.21875988611198988,0.01583884008841348
v3,0.0023939762844122107,91135,1416,0.22397975324264474,0.015537389586876612
v3,0.0024986823739460567,95121,1443,0.22825055362227142,0.015170151701517014
v3,0.002607932907405983,99280,1473,0.2329958873774122,0.01483682514101531
v3,0.002721990569411994,103622,1506,0.23821575450806706,0.01453359325239814
v3,0.0028410129707360926,108153,1536,0.24296108826320784,0.01420210257690494
v3,0.002965236527536283,112882,1575,0.24913002214489086,0.013952623093141511
v3,0.00309492392443257,117819,1598,0.2527681113571655,0.013563177416206215
v3,0.003230259040658956,122971,1628,0.2575134451123062,0.01323889372291028
v3,0.0033715045608354462,128348,1667,0.2636823789939892,0.01298812603234955
v3,0.0035189494380440463,133961,1704,0.2695349572919962,0.01272012003493554
v3,0.0036728300884427594,139819,1727,0.2731730465042708,0.012351683247627289
v3,0.003833435465113591,145933,1759,0.2782347358430876,0.012053476595423928
v3,0.004001054521138547,152314,1789,0.2829800695982284,0.01174547316727287
v3,0.004176028746523632,158975,1830,0.28946535906358745,0.011511243906274572
v3,0.004358647094350852,165927,1860,0.29421069281872825,0.011209748865464933
v3,0.004549224786164212,173182,1895,0.29974691553305916,0.010942245729925743
v3,0.00474818211735572,180756,1930,0.30528313824739006,0.010677377237823363
v3,0.0049558080410073806,188660,1962,0.3103448275862069,0.010399660765398071
v3,0.005172522852511202,196910,2004,0.31698829484340396,0.010177238332233
v3,0.00539869431033519,205520,2042,0.322999050933249,0.009935772674192293
v3,0.005634795246795353,214508,2083,0.329484340398608,0.009710593544296715
v3,0.005881193420359697,223888,2116,0.3347042075292629,0.009451154148502823
v3,0.006138361663344231,233678,2154,0.34071496361910786,0.009217812545468551
v3,0.006406799076526965,243897,2193,0.3468838975007909,0.008991500510461383
v3,0.006686952223761904,254562,2233,0.3532110091743119,0.008771929824561403
v3,0.0069793727427510605,265694,2282,0.3609617209743752,0.008588827749215263
v3,0.007284586002734442,277313,2325,0.3677633660234103,0.00838402815591047
v3,0.0076031173729520585,289439,2363,0.3737741221132553,0.008164069113008267
v3,0.00793559729649192,302096,2409,0.3810503005378045,0.007974286319580531
v3,0.00828262994798004,315307,2453,0.38801012337867763,0.007779719448030015
v3,0.008644819502042425,329095,2493,0.3943372350521987,0.007575320196295902
