methode,pr_auc,brier,p_moyen,biais,valeurs_distinctes
brut,0.01642614653283822,0.019333295954147754,0.048315391878482015,144.70545472481123,8977696
platt,0.01642614653283822,0.0003311205933419026,0.0003756651003861588,1.1251236316647026,8977696
isotonic,0.015063975724744473,0.00033098463383344963,0.00025042380143949875,0.7500237223028197,136
