retard,acf,pacf,seuil,significatif
1,0.6982433855251,0.6982433855251,0.022932212697259154,True
2,0.5854765336841268,0.1911045531584486,0.022932212697259154,True
3,0.5022058536863554,0.07714121783950709,0.022932212697259154,True
4,0.43688618239682325,0.04156338770644764,0.022932212697259154,True
5,0.38275361514898515,0.024544215543727106,0.022932212697259154,True
6,0.35298141832292257,0.04847314193889422,0.022932212697259154,True
7,0.3170357820654783,0.014585884072774603,0.022932212697259154,False
8,0.29726501820975226,0.03379285875171842,0.022932212697259154,True
9,0.2768896704784928,0.02093090169098862,0.022932212697259154,False
10,0.26092601767236395,0.021233714528027924,0.022932212697259154,False
11,0.24882366589236943,0.023099666738594354,0.022932212697259154,True
12,0.22489305027209164,-0.007843952002746278,0.022932212697259154,False
