serie,adf,p,retards,seuil_5pct,stationnaire
feux par jour,-10.11596508916657,9.722907333695069e-18,13,-2.8619364999957715,True
FWI national,-7.301323459520691,1.3362725964777153e-10,21,-2.861936935618387,True
"feux, différenciée 1 jour",-24.561338735952088,0.0,23,-2.8619370992237503,True
feux par AN (20 points),-3.8498324227551466,0.0024366950292534786,8,-3.189368925619835,True
