annonce,observe,effectif,ecart,methode
8.776213442911746e-05,0.0,1056493,8.776213442911746e-05,brut
0.00015962865951907868,7.572229605146088e-06,1056492,0.0001520564299139326,brut
0.0002803112060540638,8.518758305789349e-06,1056492,0.0002717924477482744,brut
0.0004968408619661301,1.4197917070912917e-05,1056493,0.00048264294489521717,brut
0.0008989827878435623,2.7449306337098304e-05,1056493,0.000871533481506464,brut
0.0016768551474197007,2.6502803618011306e-05,1056492,0.0016503523438016893,brut
0.0032168097523674524,7.193631742846596e-05,1056490,0.0031448734349389866,brut
0.006426989458345916,0.00011547639217675838,1056493,0.006311513066169157,brut
0.01384630951980512,0.0001628026283159204,1056494,0.0136835068914892,brut
0.03342906175922624,0.0002820655527916917,1056492,0.03314699620643455,brut
0.09789879184168591,0.0004287770955415701,1056493,0.09747001474614435,brut
0.4213661146955754,0.0028613535536913164,1056493,0.41850476114188406,brut
