modele,aic,mae,rmse,correlation
"SARIMAX(2,0,1) + Fourier + FWI",29399.79513518508,4.025982629722722,7.26664853759459,0.8495618922419395
"SARIMAX(2,0,1) + Fourier seul",30146.03866101744,6.416752293446684,11.295771581549849,0.6034440441006359
"ARIMA(2,0,1) sans exogène",30195.03984429555,8.33954130033704,13.79831208816283,-0.1180809478265202
